"","obs_id","name.x","entry_status","mp_year","other_docs","net_ids","country.x","region","subregion","num_areas","num_nt_areas","size","nt_size","protection","network.x","cc_threat","cc_ap","cons_obj","sp_vs_unit","sp_feat","unit_feat","cc_obj","obj_details","cc_va","other_assess","va_action","va_details","des_net","des_cc","des_res","sci_monitor","social_monitor","cc_monitor","cc_monitor_det","adap_man","adap_design","mp_time","work_plan","am_det","int_man","cc_actions","act_type","act_motive","Notes","x1","mpa_id","search","notes","network.y","name.y","orig_name","country.y","sovereign","sub_locati","designatio","designat_1","designat_2","marine","status","status_yea","no_take","no_take_ar","rep_m_area","calc_m_are","rep_area","calc_area","fishing","fishing_in"
"1",35,"Coral Sea Natural Park - Atolls d'Entrecasteaux","Complete",2018,NA,NA,"New Caledonia","Pacific","West",1,"5","1289330","30863","Zoning - ~5 NT areas","NS","Yes","No","Yes","Both","Heritage, rare, migratory species","Ecosystems, habitats, their connectivity","Explicit","Conserve structure and function especially in context of climate change; other goal to adapt to climate change effects, use renewable energies","NS","NS","NS","NS","Planned","Developing system of additional reserves within park boundaries that follow resilience principles and ensure connectivity","Planned","ID","Tourism, fishing","NS","NS","Yes","Redesign","5","NS","Includes potentially establishing new protected areas to promote resilience","Yes","Yes",NA,NA,NA,519,15624,"F","Part of NCL Coral Sea Natural Park",NA,"Atolls d'Entrecasteaux","Atolls d'Entrecasteaux","NCL","FRA","Not Reported","Parc Naturel","Natural Park","National",2,"Designated",2013,"Part",3236,3504,3322.162802,3504,3504.576827,"Unknown",NA
"2",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,124,15511,"F",NA,"Maldives Biosphere Reserve","Eedhigali Kilhi","Eedhigali Kilhi","MDV","MDV","MV-01","Mangrove, Island, Reef and Lagoon areas protected","Mangrove, Island, Reef and Lagoon areas protected","National",1,"Designated",2004,"All",6.54646609,7,6.54646609,7,7.672197836,"Unknown",NA
"3",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,125,15510,"F",NA,"Maldives Biosphere Reserve","Thoondi Area","Thoondi Area","MDV","MDV","MV-29","Beach and lagoon areas protected","Beach and lagoon areas protected","National",2,"Designated",2012,"All",1.612720652,1,1.612720652,1,1.651340847,"Unknown",NA
"4",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,968,68812308,"F",NA,"Maldives Biosphere Reserve","Hanifaru","Hanifaru","MDV","MDV","MV-20","Island, Reef and Lagoon areas protected","Island, Reef and Lagoon areas protected","National",2,"Designated",2009,"All",11.56515304,11,11.56515304,11,11.60788273,"Unknown",NA
"5",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,969,68812307,"F",NA,"Maldives Biosphere Reserve","Olhugiri","Olhugiri","MDV","MDV","MV-20","Island, Reef and Lagoon areas protected","Island, Reef and Lagoon areas protected","National",2,"Designated",2006,"All",5.377040683,5,5.377040683,5,5.693366364,"Unknown",NA
"6",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,970,68812306,"F",NA,"Maldives Biosphere Reserve","Hurasdhoo","Hurasdhoo","MDV","MDV","MV-00","Island, Reef and Lagoon areas protected","Island, Reef and Lagoon areas protected","National",2,"Designated",2006,"All",5.080865517,5,5.080865517,5,5.130332583,"Unknown",NA
"7",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,971,68812305,"F",NA,"Maldives Biosphere Reserve","Hthaadhoo","Hthaadhoo","MDV","MDV","MV-27","Island, Reef and Lagoon areas protected","Island, Reef and Lagoon areas protected","National",2,"Designated",2006,"All",7.847021297,8,7.847021297,8,7.98056586,"Unknown",NA
"8",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,972,15516,"F",NA,"Maldives Biosphere Reserve","South Ari Marine Protected Area","South Ari Marine Protected Area","MDV","MDV","MV-00","Reef areas protected","Reef areas protected","National",2,"Designated",2009,"All",55.70200644,55,55.70200644,55,55.70205339,"Unknown",NA
"9",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,973,15515,"F",NA,"Maldives Biosphere Reserve","Maahuruvalhi","Maahuruvalhi","MDV","MDV","MV-20","Reef areas protected","Reef areas protected","National",2,"Designated",2011,"All",34.58663818,34,34.58663818,34,34.58663818,"Unknown",NA
"10",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,974,15514,"F",NA,"Maldives Biosphere Reserve","Mendhoo Region","Mendhoo Region","MDV","MDV","MV-20","Island and Reef areas protected","Island and Reef areas protected","National",2,"Designated",2011,"All",21.10963471,21,21.10963471,21,21.30871184,"Unknown",NA
"11",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,975,15513,"F",NA,"Maldives Biosphere Reserve","COBIN Wrack","COBIN Wrack","MDV","MDV","MV-20","Historical sites protected","Historical sites protected","National",2,"Designated",2011,"All",3.282359832,3,3.282359832,3,3.282359832,"Unknown",NA
"12",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,976,15512,"F",NA,"Maldives Biosphere Reserve","Goidhoo Koaru","Goidhoo Koaru","MDV","MDV","MV-20","Wetland and Water bodies areas protected","Wetland and Water bodies areas protected","National",1,"Designated",2011,"All",1.518201525,1,1.518201525,1,1.707331942,"Unknown",NA
"13",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,977,15509,"F",NA,"Maldives Biosphere Reserve","Bathala Region","Bathala Region","MDV","MDV","MV-20","Island and Reef areas protected","Island and Reef areas protected","National",2,"Designated",2011,"All",33.78050738,34,33.78050738,34,33.84102033,"Unknown",NA
"14",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,978,15508,"F",NA,"Maldives Biosphere Reserve","Anga Faru","Anga Faru","MDV","MDV","MV-20","Reef, Lagoon and Sand bank areas protected","Reef, Lagoon and Sand bank areas protected","National",2,"Designated",2009,"All",13.14703122,13,13.14703122,13,13.14703122,"Unknown",NA
"15",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,979,15507,"F",NA,"Maldives Biosphere Reserve","Mathifaru Huraa","Mathifaru Huraa","MDV","MDV","MV-20","Island and Reef areas protected","Island and Reef areas protected","National",2,"Designated",2011,"All",7.449737839,7,7.449737839,7,7.449737839,"Unknown",NA
"16",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,984,6969,"F",NA,"Maldives Biosphere Reserve","Vattaru","Vattaru","MDV","MDV","MV-04","Reef areas protected","Reef areas protected","National",2,"Designated",1999,"All",97.3710704,97,97.3710704,97,97.3710704,"Unknown",NA
"17",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,985,6968,"F",NA,"Maldives Biosphere Reserve","Rangali Kandu","Rangali Kandu","MDV","MDV","MV-00","Reef areas protected","Reef areas protected","National",2,"Designated",1999,"All",8.616243536,8,8.616243536,8,8.616243504,"Unknown",NA
"18",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,986,6967,"F",NA,"Maldives Biosphere Reserve","Villingilee Thila","Villingilee Thila","MDV","MDV","MV-13","Reef areas protected","Reef areas protected","National",2,"Designated",1999,"All",2.644951157,2,2.644951157,2,2.644951157,"Unknown",NA
"19",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,987,6966,"F",NA,"Maldives Biosphere Reserve","Nassimo Thila (Lankan Thila)","Nassimo Thila (Lankan Thila)","MDV","MDV","MV-26","Reef areas protected","Reef areas protected","National",2,"Designated",1999,"All",2.660693242,2,2.660693242,2,2.660693242,"Unknown",NA
"20",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,988,6965,"F",NA,"Maldives Biosphere Reserve","Karibeyru Region","Karibeyru Region","MDV","MDV","MV-02","Reef areas protected","Reef areas protected","National",2,"Designated",1999,"All",13.16705292,13,13.16705292,13,13.16705292,"Unknown",NA
"21",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,989,6964,"F",NA,"Maldives Biosphere Reserve","Lazikuraadi","Lazikuraadi","MDV","MDV","MV-12","Reef areas protected","Reef areas protected","National",2,"Designated",1999,"All",4.870433081,4,4.870433081,4,4.870433081,"Unknown",NA
"22",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,990,6963,"F",NA,"Maldives Biosphere Reserve","Kuredhi Kanduolhi (Kuredhu Express)","Kuredhi Kanduolhi (Kuredhu Express)","MDV","MDV","MV-03","Reef and Channel areas protected","Reef and Channel areas protected","National",2,"Designated",1999,"All",3.91780551,3,3.91780551,3,3.91780551,"Unknown",NA
"23",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,991,6962,"F",NA,"Maldives Biosphere Reserve","Filitheyo Kandu","Filitheyo Kandu","MDV","MDV","MV-14","Reef areas protected","Reef areas protected","National",2,"Designated",1999,"All",1.660167431,1,1.660167431,1,1.672772972,"Unknown",NA
"24",142,"Maldives Biosphere Reserve","Complete",2013,NA,NA,"Maldives","Indian","Central",39,"39","472","472","Small individual NT areas",NA,"Yes","Planned",NA,NA,NA,NA,"Explicit","Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives","NS","Planned","NS","Planned environmental impact assessment","Planned","NS","Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach","Planned - implementation unclear, not stated","Planned","Planned","Plan to monitor effects; not yet developed","Planned","NS","NS","NS","Plan to incorporate adaptive management principles within developing atoll-level reserve management plans","Yes","Planned","IS, HR","Yes",NA,992,6961,"F",NA,"Maldives Biosphere Reserve","Fushi Kandu","Fushi Kandu","MDV","MDV","MV-17","Reef areas protected","Reef areas protected","National",2,"Designated",1999,"All",23.55478973,23,23.55478973,23,23.55478973,"Unknown",NA
