Table S5. Relevant explicit climate change details collected from each plan,,,,
Plan,Name,Component,Indicator,Strategy
1,Channel Islands National Marine Sanctuary,Climate,Comprehensive climate change action plan (e.g. separate plan or specific detailed section with multiple objectives and actions),"In development; updated sanctuary management plan to focus on three issues (climate change, marine debris, vessel traffic) with specific action plans for each"
1,Channel Islands National Marine Sanctuary,Objectives,Objectives explicitly connected to climate change,Conservation Action Plan lists monitoring and evaluating effects of climate change
1,Channel Islands National Marine Sanctuary,Objectives,General climate change adaptation,"""...identify, assess, and respond to issues associated with climate change in the Sanctuary."" (MP 2009)"
1,Channel Islands National Marine Sanctuary,Objectives,Monitoring climate effects and/or indicators,Conservation Action Plan lists monitoring and evaluating effects of climate change
1,Channel Islands National Marine Sanctuary,Objectives,Promote climate change research (or increase cc knowledge),"Partner with research programs (ex: UCSB, NOAA, SB LTER) - provide access, staff time, research vessel support - for climate research"
1,Channel Islands National Marine Sanctuary,Objectives,Reduce emissions; green operations,"Conservation Action Plan lists making CINMS operations ""green""; LEED-certified office building, replacing older vessel engines with cleaner/more efficient models. Operate NOAA-owned vessels and facilities in a climate-friendly manner"
1,Channel Islands National Marine Sanctuary,Objectives,Improve climate change awareness/education,Raising awareness about ocean acidification through public communication and resources
1,Channel Islands National Marine Sanctuary,Assessment,Conducted climate change vulnerability assessment,"Completed CCVA for deepwater corals in 2014; stressors: ocean acidification, reductions in dissolved oxygen, HABs, warming, marine heat waves"
1,Channel Islands National Marine Sanctuary,Design,Design principles applied with explicit climate change context,"Designs should consider the potential impacts of climate change, community alteration, and distributional shifts in marine species when designing MPAs (Channel Islands National Marine Sanctuary Condition Report 2016)"
1,Channel Islands National Marine Sanctuary,Design,Consider projected impacts or changes,"Designs should consider the potential impacts of climate change, community alteration, and distributional shifts in marine species when designing MPAs (Channel Islands National Marine Sanctuary Condition Report 2016)"
1,Channel Islands National Marine Sanctuary,Design,Protecting shifting distributions,"Designs should consider the potential impacts of climate change, community alteration, and distributional shifts in marine species when designing MPAs (Channel Islands National Marine Sanctuary Condition Report 2016)"
1,Channel Islands National Marine Sanctuary,Design,Adaptive design applied as a climate change strategy,Boundary Evaluation Action Plan includes updating design for climate change
2,Santuario de Flora y Fauna Malpelo,Climate,Discuss limitations with respect to adaptation and/or mitigation,Limited knowledge; need to understand vulnerability in order to better design strategies
2,Santuario de Flora y Fauna Malpelo,Objectives,Objectives explicitly connected to climate change,"""Generate and increase scientific knowledge of ecosystems and the effect of global climate change as inputs for decision-making and the achievement of conservation objectives of the SFF Malpelo.”"
2,Santuario de Flora y Fauna Malpelo,Objectives,Monitoring climate effects and/or indicators,"""Generate and increase scientific knowledge of ecosystems and the effect of global climate change as inputs for decision-making and the achievement of conservation objectives of the SFF Malpelo.”"
2,Santuario de Flora y Fauna Malpelo,Assessment,Conducted climate change vulnerability assessment,"Qualitative risk assessment was conducted to prioritize issues for management based on stressors in the region - climate change and variability was one category. A comprehensive vulnerability assessment is planned from the current MP to evaluate vulnerability of conservation features but not yet reported. The risk assessment led to SST anomalies as a priority issue, with specific management actions. Stressors: SST anomalies, acidification, thermal fronts/surges, wind patterns, precipitation patterns, seasonal temperature changes, and heat waves."
2,Santuario de Flora y Fauna Malpelo,Design,Consider projected impacts or changes,"""Climate risks : Areas in which they have been evaluated risk levels in the face of projected changes in local hydroclimatic conditions."""
3,Parque Nacional Isla del Coco,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""The vulnerability analysis is not an absolute truth, it is just a possible model of reality. Therefore, there will always be new problems that must be analyzed and adapted within the vulnerability analysis. Therefore, adaptation is the ability of a system to change its behavior in the presence of a disturbance"""
3,Parque Nacional Isla del Coco,Climate,Comprehensive climate change action plan (e.g. separate plan or specific detailed section with multiple objectives and actions),Developing comprehensive climate change mitigation and action plan for the area
3,Parque Nacional Isla del Coco,Objectives,Objectives explicitly connected to climate change,"Climate change identified as priority threat for immediate action - developing adaptation and mitigation plan, plans for invasive species management, seeking ""blue flag"" certification for climate change"
3,Parque Nacional Isla del Coco,Objectives,Reduce emissions; green operations,"Specific goal of determining the major sources of greenhouse gas emissions; plan for obtaining the ""Bandera Azul Ecologica"" for climate change"
3,Parque Nacional Isla del Coco,Assessment,Conducted climate change vulnerability assessment,"Qualitative risk assessment was conducted to prioritize issues for management based on stressors in the region - climate change was identified as the most critical threat. Stressors: SST, sea level rise, ocean acidification, precipitation patterns"
4,Galapagos Marine Reserve,Climate,Discusses protection as climate mitigation strategy,"""Protect ecosystems and natural buffer barriers to mitigate natural events and those produced by climate change"""
