,mpa_id,search,plan_id,notes,network,name,orig_name,country,sovereign,sub_locati,designatio,designat_1,designat_2,marine,status,status_yea,no_take,no_take_ar,rep_m_area,calc_m_are,rep_area,calc_area,fishing,fishing_in
44,4945,DNE,NA,NA,NA,Parque Estadual Marinho Da Pedra Da Risca Do Meio,Parque Estadual Marinho Da Pedra Da Risca Do Meio,BRA,BRA,BR-CE,Parque,Park,National,2,Designated,1999,All,37.15996745,33,37.15996745,37,37.15996745,Unknown,NA
47,4913,DNE,NA,NA,NA,Reserva Extrativista Corumbau,Reserva Extrativista Corumbau,BRA,BRA,Not Reported,Reserva Extrativista,Extractive Reserve,National,2,Designated,2000,Part,89.6074833,0,896.074833,895,899.9571287,Unknown,NA
48,3513,DNE,NA,NA,NA,Parque Estadual Xixová-Japuí,Parque Estadual Xixová-Japuí,BRA,BRA,BR-SP,Parque,Park,National,1,Designated,1993,All,2.565269935,0,2.565269935,8,8.875680648,Unknown,NA
49,3340,DNE,NA,NA,NA,Parque Estadual Marinho Da Laje De Santos,Parque Estadual Marinho Da Laje De Santos,BRA,BRA,Not Reported,Parque,Park,National,2,Designated,1993,All,51.3934481,0,51.3934481,51,51.3934481,Unknown,NA
52,2409,DNE,NA,NA,NA,Parque Estadual Marinho Do Parcel De Manuel Luís,Parque Estadual Marinho Do Parcel De Manuel Luís,BRA,BRA,BR-MA,Parque,Park,National,2,Designated,1991,All,451.2813708,452,451.2813708,451,451.2813708,Unknown,NA
55,1412,DNE,NA,NA,NA,Reserva Biológica De Santa Isabel,Reserva Biológica De Santa Isabel,BRA,BRA,Not Reported,Reserva Biológica,Biological Reserve,National,1,Designated,1988,All,1.949358342,21,1.949358342,55,41.10386835,No,Fishing is prohibited
114,7707499,DNE,NA,NA,NA,British Indian Ocean Territory Marine Protected Area (Chagos),British Indian Ocean Territory Marine Protected Area (Chagos),IOT,GBR,Not Reported,Marine Protected Area,Marine Protected Area,National,2,Designated,2010,All,638103.185,640000,638103.185,640000,638163.7225,No,No-take marine reserve
136,3309,DNE,NA,Interim plan in effect,NA,Three Brothers and Resurgent Islands,Three Brothers and Resurgent Islands,IOT,GBR,Not Reported,Strict Nature Reserve,Strict Nature Reserve,National,2,Designated,1998,All,185.510057,187,185.510057,187,186.129825,No,NA
848,5299,DNE,NA,NA,NA,Reserva Biológica Do Parazinho,Reserva Biológica Do Parazinho,BRA,BRA,BR-AP,Reserva Biológica,Biological Reserve,National,2,Designated,1985,All,0.1141549834,0,0.1141549834,2,2.76237945,No,Fishing is Prohibited
967,921,DNE,NA,NA,NA,Farasan Islands,محمية جزر فرسان,SAU,SAU,Not Reported,محمية موارد مستغلة,Resource Use Reserve,National,1,Designated,1988,Not Reported,0,4662,4648.164745,5408,5393.925864,Some Restrictions,"Even special natural areas, pelagic trolling is allowed, and this is the minimum of fishing allowed in any part of the MPA. 

Zone Management objectives and locations utilized within the Farasan Islands MPA

Resource use hima - Relatively large areas"
1066,1123,DNE,NA,NA,NA,Ethniko Thalassio Parko Zakynthou,Ethniko Thalassio Parko Zakynthou,GRC,GRC,Not Reported,Ethniko Thalassio Parko,National Marine Park,National,1,Designated,1990,Part,8.675324476,88,86.75324476,104,104.2263083,Unknown,NA
1169,6989,DNE,NA,NA,NA,Tung Ping Chau,Tung Ping Chau,HKG,CHN,Marine,Marine Park,Marine Park,National,2,Designated,2001,Not Reported,0,2,2.592079479,2,3.781611035,Some Restrictions,...only the Cape D’Aguilar Marine Reserve and core areas in the Tung Ping Chau Marine Park are designated “no-take” zones.
1171,6823,DNE,NA,NA,NA,Cape D'Aguilar,Cape D'Aguilar,HKG,CHN,Not Reported,Marine Reserve,Marine Reserve,National,2,Designated,1996,Not Reported,0,0,0.1093387507,0,0.1958611421,No,"The biodiversity is rich in Marine Reserve, including numerous kinds of fishes, stony corals, soft corals, gorgonian and marine invertebrates. In order to protect these important habitats, water sports and coastal activities are prohibited."
653,68808271,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",Anacapa Island,NA,USA,USA,NA,Federal Marine Conservation Area,Federal Marine Conservation Area,National,1,Designated,1980,All,6.181133066,0,6.181133066,0,6.18113306,No,The entire MPA network consists of 11 marine reserves where all take and harvest is prohibited
654,68808270,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",South Point,NA,USA,USA,NA,Federal Marine Reserve,Federal Marine Reserve,National,1,Designated,1980,All,4.914035405,0,4.914035405,0,4.914035406,No,The entire MPA network consists of 11 marine reserves where all take and harvest is prohibited
655,68808269,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",Scorpion,NA,USA,USA,NA,Federal Marine Reserve,Federal Marine Reserve,National,1,Designated,1980,All,22.83235601,0,22.83235601,0,22.83235606,No,The entire MPA network consists of 11 marine reserves where all take and harvest is prohibited
656,68808268,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",Santa Barbara Island,NA,USA,USA,NA,Federal Marine Reserve,Federal Marine Reserve,National,1,Designated,1980,All,113.997199,0,113.997199,0,113.997199,No,The entire MPA network consists of 11 marine reserves where all take and harvest is prohibited
657,68808267,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",Richardson Rock,NA,USA,USA,NA,Federal Marine Reserve,Federal Marine Reserve,National,1,Designated,1980,All,82.18526129,0,82.18526129,0,82.18526129,No,The entire MPA network consists of 11 marine reserves where all take and harvest is prohibited
658,68808266,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",Harris Point,NA,USA,USA,NA,Federal Marine Reserve,Federal Marine Reserve,National,1,Designated,1980,All,61.24391431,0,61.24391431,0,61.24391441,No,The entire MPA network consists of 11 marine reserves where all take and harvest is prohibited
659,68808265,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",Gull Island,NA,USA,USA,NA,Federal Marine Reserve,Federal Marine Reserve,National,1,Designated,1980,All,37.56488312,0,37.56488312,0,37.56488293,No,The entire MPA network consists of 11 marine reserves where all take and harvest is prohibited
660,68808264,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",Footprint,NA,USA,USA,NA,Federal Marine Reserve,Federal Marine Reserve,National,1,Designated,1980,All,55.60508127,0,55.60508127,0,55.60508127,No,The entire MPA network consists of 11 marine reserves where all take and harvest is prohibited
661,68808263,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",Anacapa Island,NA,USA,USA,NA,Federal Marine Reserve,Federal Marine Reserve,National,1,Designated,1980,All,9.87671005,0,9.87671005,0,9.876710053,No,The entire MPA network consists of 11 marine reserves where all take and harvest is prohibited
730,7647,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",Footprint (Anacapa Channel),NA,USA,USA,US-CA,State Marine Reserve,State Marine Reserve,National,1,Designated,2007,All,18.26668264,18,18.26668264,17,18.26668264,No,Commercial and Recreational Fishing Prohibited
743,7606,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",Anacapa Island,NA,USA,USA,US-CA,Special Closure,Special Closure,National,1,Designated,2005,All,1.624784427,2,1.624784427,0,2.657903279,No,"No net or trap may be used in waters less than 20 feet deep off the Anacapa Islands commonly referred to as Anacapa Island.
Commercial and Recreational Fishing Prohibited"
744,7600,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",Anacapa Island,NA,USA,USA,US-CA,State Marine Reserve,State Marine Reserve,National,1,Designated,2003,All,29.59246088,29,29.59246088,29,29.9030764,No,Commercial and Recreational Fishing Prohibited
745,7599,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",Santa Barbara Island,NA,USA,USA,US-CA,State Marine Reserve,State Marine Reserve,National,1,Designated,2003,All,32.94733057,45,32.94733057,33,33.071633,No,Commercial and Recreational Fishing Prohibited
746,7598,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",Scorpion (Santa Cruz Island),NA,USA,USA,US-CA,State Marine Reserve,State Marine Reserve,National,1,Designated,2003,All,24.57115036,35,24.57115036,24,24.95722353,No,Commercial and Recreational Fishing Prohibited
747,7597,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",Gull Island (Santa Cruz Island),NA,USA,USA,US-CA,State Marine Reserve,State Marine Reserve,National,1,Designated,2003,All,51.23631873,55,51.23631873,51,51.6216553,No,Commercial and Recreational Fishing Prohibited
748,7596,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",South Point (Santa Rosa Island),NA,USA,USA,US-CA,State Marine Reserve,State Marine Reserve,National,1,Designated,2003,All,33.45062283,37,33.45062283,33,33.87009305,No,Commercial and Recreational Fishing Prohibited
749,7595,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",Carrington Point (Santa Rosa Island),NA,USA,USA,US-CA,State Marine Reserve,State Marine Reserve,National,1,Designated,2003,All,32.32721413,45,32.32721413,33,33.0976572,No,Commercial and Recreational Fishing Prohibited
750,7593,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",Skunk Point (Santa Rosa Island),NA,USA,USA,US-CA,State Marine Reserve,State Marine Reserve,National,1,Designated,2003,All,3.743937897,4,3.743937897,3,3.799067525,No,Commercial and Recreational Fishing Prohibited
751,7592,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",Harris Point (San Miguel Island),NA,USA,USA,US-CA,State Marine Reserve,State Marine Reserve,National,1,Designated,2003,All,64.73876392,62,64.73876392,65,65.77895297,No,"Recreational Fishing Prohibited and Commercial Fishing Restricted. 

An exemption in the MPA, where commercial and recreational take of living marine resources is allowed, exists between the mean high tide line in Cuyler Harbor and a line between the f"
752,7591,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",Judith Rock (San Miguel Island),NA,USA,USA,US-CA,State Marine Reserve,State Marine Reserve,National,1,Designated,2003,All,11.65086821,9,11.65086821,11,11.8496025,No,Commercial and Recreational Fishing Prohibited
753,7590,F,1,NA,"Channel Islands National Marine Sanctuary, California MPA Network",Richardson Rock (San Miguel Island),NA,USA,USA,US-CA,State Marine Reserve,State Marine Reserve,National,1,Designated,2003,All,105.5401091,59,105.5401091,106,105.5401091,No,Commercial and Recreational Fishing Prohibited
852,3803,F,2,NA,NA,Malpelo,Malpelo,COL,COL,CO-VAU,Santuario de Fauna y Flora,Fauna and Flora Sanctuary,National,2,Designated,1995,All,26658.00417,0,26658.00417,26679,26659.13305,No,NA
891,23,F,3,NA,NA,Isla del Coco,Isla del Coco,CRI,CRI,CR-P,Parque Nacional,National Park,National,2,Designated,1978,Not Reported,0,2041,2011.634523,2041,2036.48476,Some Restrictions,NA
1380,68808176,F,4,NA,NA,Galápagos,NA,ECU,ECU,NA,Marine Sanctuary,Marine Sanctuary,NA,1,Designated,2016,All,47172.28239,47000,47172.28239,47000,47200.0942,No,NA
1381,901,F,4,NA,NA,Galápagos,Galápagos,ECU,ECU,EC-W,Reserva Marina,Marine Reserve,National,2,Designated,1998,Not Reported,0,123490,123241.094,126972,123362.2098,Some Restrictions,"In Galapagos Islands, due to the Special Law regulation, only small-scale fishing activities are permitted. Industrial fishing has been banned since 1998, when the Galapagos Marine Reserve was established. 

Total landings associated with the industria"
925,6575,F,5,NA,NA,Ilhas Selvagens,Ilhas Selvagens,PRT,PRT,Not Reported,Reserva Natural,Nature Reserve,National,2,Designated,1971,All,90.28454079,91,90.28454079,94,94.37278003,No,"The legal framework for the protection of the Selvagens Islands establishes a protected area delimited by the bathymetric of the 200 meters and includes all the terrestrial and marine area .
It is banned throughout this area:
harvesting, cutting, harve"
138,2483,F,6,NA,NA,Chumbe Island Coral Park (CHICOP),Chumbe Island Coral Park (CHICOP),TZA,TZA,TZ-15,Sanctuary and Closed Forest Reserve,Sanctuary and Closed Forest Reserve,National,1,Designated,1994,All,0.6174115942,0,0.6174115942,0.5,0.6283494302,No,No fishing allowed in this area.
123,7700176,F,7,NA,NA,Aldabra Atoll,Aldabra Atoll,SYC,SYC,Not Reported,Special Reserve,Special Reserve,National,2,Designated,1981,All,2416.660163,142,2416.660163,2429,2429.942299,Unknown,NA
1049,5193,F,8,NA,NA,Torre Guaceto,Torre Guaceto,ITA,ITA,ITF4,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,2,Adopted,2008,Part,3,22,21.61244831,22,21.81298804,Unknown,NA
1064,1227,F,8,NA,NA,Riserva Naturale Marina Torre Guaceto,Riserva Naturale Marina Torre Guaceto,ITA,ITA,Not Reported,Riserva Naturale Marina E Aree Naturali Marine Protette,Natural Marine Reserve And Natural Protected Marine Areas,National,2,Designated,1991,Part,1.79,21,21.61437797,22,21.81300286,Unknown,NA
1107,68813303,F,9,NA,NA,Tubbataha Reef,Tubbataha Reef,PHL,PHL,PH-PLW,Natural Park,Natural Park,National,2,Designated,2010,All,969.7766442,970,969.7766442,970,969.7766442,Unknown,NA
466,9240,F,10,NA,Raja Ampat Marine Protected Area Network,Misool,NA,IDN,IDN,Raja Ampat,Marine Reserve,Marine Reserve,National,1,Designated,2005,All,684.3176965,1212,684.3176965,1212,700.649745,No,"No fishing, capture or removal allowed of any marine resources"
