obs_id,name,entry_status,mp_year,other_docs,net_ids,country,region,subregion,num_areas,num_nt_areas,size,nt_size,protection,network,cc_threat,cc_ap,cons_obj,sp_vs_unit,sp_feat,unit_feat,cc_obj,obj_details,cc_va,other_assess,va_action,va_details,des_net,des_cc,des_res,sci_monitor,social_monitor,cc_monitor,cc_monitor_det,adap_man,adap_design,mp_time,work_plan,am_det,int_man,cc_actions,act_type,act_motive,Notes
35,Coral Sea Natural Park - Atolls d'Entrecasteaux,Complete,2018,,,New Caledonia,Pacific,West,1,5,1289330,30863,Zoning - ~5 NT areas,NS,Yes,No,Yes,Both,"Heritage, rare, migratory species","Ecosystems, habitats, their connectivity",Explicit,"Conserve structure and function especially in context of climate change; other goal to adapt to climate change effects, use renewable energies",NS,NS,NS,NS,Planned,Developing system of additional reserves within park boundaries that follow resilience principles and ensure connectivity,Planned,ID,"Tourism, fishing",NS,NS,Yes,Redesign,5,NS,Includes potentially establishing new protected areas to promote resilience,Yes,Yes,,,
142,Maldives Biosphere Reserve,Complete,2013,,,Maldives,Indian,Central,39,39,472,472,Small individual NT areas,,Yes,Planned,NR,NR,NR,NR,Explicit,"Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives",NS,Planned,NS,Planned environmental impact assessment,Planned,NS,Planned - developing spatial plans focused on coherent network with buffer zone and ecosystem approach,"Planned - implementation unclear, not stated",Planned,Planned,Plan to monitor effects; not yet developed,Planned,NS,NS,NS,Plan to incorporate adaptive management principles within developing atoll-level reserve management plans,Yes,Planned,"IS, HR",Yes,
14,Great Barrier Reef Marine Park,Other Docs NR,2020,"Zoning Plan 2003 (Reviewed), Blueprint for Resilience 2017 (NR), From Blueprint to Action 2018 (Reviewed), Reef 2050 Long-term Sustainability Plan Midterm Update 2018 (NR), Outlook Report 2019 (Reviewed), Corporate Plan 2020 (Reviewed), Reef 2050 Annual Report 2019 (NR)",,Australia,Pacific,West,1,4,344400,114309,Zoning - 4 Specially Managed Areas,Australian National System of Marine Reserves,Yes,Yes,Somewhat,Both,NR,NR,Explicit,"General objectives of protecting biodiversity and ""key species and habitats"" for the park but lack specifics; individual management plans for special areas have objectives slightly more defined (e.g. ""coral reefs"", ""water quality"", ""dugongs"") ",Yes,NS,Yes,"CCVA was completed in 2007, led to strategic plan in 2009 - that plan was defunded, but the reef has since developed the Blueprint for Resilience and the Outlook Reports (every 5 years) provide significant vulnerability information as well as management effectiveness (Extensive - 886 pages)",No,"General resilience principles applied in zoning - current arrangement has at least 20% of every bioregion within a highly protected zone, and notes protecting other areas of high conservation value.",NS,See Reef 2050 Integrated Monitoring Program,See Long-term Social and Economic Monitoring Program,Explicit,Extensive,Yes,Not Zoning,5,1,NR,Yes,Yes,,,Design reduces other stressors?
46,Alboran Islands,Complete,2015,Marine Reserve Network Summary - 30 Years of Protection (2018),,Spain,Mediterranean,Alboran Sea,1,1,264,16.2,"Zoning - marine reserve, protected zone are no take","Natura 2000, Special Areas of Mediterranean Importance",Yes,No,Yes,Both,"Rocky reef species, Audouin's Gull","Benthic substrates - coral reefs, rocky reefs, algae formations",Explicit,"Improve knowledge of climate change - establish effects and predictive scenarios for vulnerable habitat and species, develop actions for adaptation and mitigation",NS,NS,NS,NS,NS,NS,NS,"Reef distribution and associated fauna, associated threats (e.g pollution, invasive species), cetaceans, sea turtles, marine habitat distribution","Fishing activity, resource use, management actions",Explicit,"Effects of climate change on conservation values, predictive scenarios",Yes,NS,6,1,Evaluate and update every 3-6 years,NS,Yes,,,
5,Ilhas Selvagens Special Conservation Area,Other Docs NR,2017,"Strategy for Adaptation to Climate Change in the Autonomous Region of Madeira (NF), MPA Report 2018 (NR), Portugal National Strategy of the Sea (NR), Establishment of Representative Network 2019 (NR)",,Portugal,Atlantic,North,1,1,90.3,90.3,Zoning,Portugal Representative Network - Macaronesia Bioregion,Yes,No,No,NA,NA,NA,No,"Conservation objectives are stated but relatively non-specific, e.g. ""protect marine habitats, fauna and flora""",NS,NS,NS,NS,No,NS,NS,Seabirds; objective to plan monitoring program for marine habitats and marine fauna and flora,Tourism and fishing activity,NS,NS,NS,NS,NS,NS,NS,Yes,Yes,,,
47,Mallorca Marine Reserve Network,Complete,2014,, ,Spain,Mediterranean,Balearic Sea,1,1,113,19,"Zoning - NTA, restricted zone",Natura 2000,Yes,No,Somewhat,Both,"Natura 2000 Species - Dolphins, turtles, birds","Natura 2000 Habitats - Seagrass meadows, coves and bays, ecological connectivity",No,NA,NS,NS,NS,NS,NS,NS,NS,Periodic mapping of habitats,"Management effectiveness, resource use",Explicit,"Sea level rise and effects on seagrass meadows, changes to competition between native and invasive species",NS,NS,NS,1,NS,Yes,Yes,,,
84,Baclar Chico Marine Reserve,Complete,2004,,,Belize,Atlantic,Caribbean,2,1,61.8,18,Zoning - conservation zone I and preservation zone are NT,Belize Barrier Reef Protected Area System,No,NA,Yes,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,Yes - representative habitats,Yes,Yes - fisher/tourism perspective,NS,NS,Yes,NS,10,1,Short and long-term strategic boals,Yes,NS,NA,NA,
8,Area Marina Protetta di Torre Guaceto,Other Docs NR,2018,MPA Adapt Project?,,Italy,Mediterranean,Adriatic Sea,1,2,22,1.83,Zoning - Buffer,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),No,NA,Yes,Both,Focal species listed,Focal habitats listed,No,NA,NS,Yes,Yes,"Thorough assesment of threats and stressors potentially affecting the conservation features, but not in direct relation to climate change; threats directly translated into strategic actions",No,NS,NS,"Extensive (abundance, area, diversity of focal species and habitats, biophysical indicators)",Tourism and fishing activity,Implicit,NS,Yes,,NS,NS,NR,Yes,Yes,"HR, EO, IS",No,Does not explicitly mention climate change in MP
1,Channel Islands National Marine Sanctuary Marine Reserve Network,Other Docs NR,2009,"Channel Islands NMS Condition Report 2016 (Reviewed), California MPA Master Plan 2016 and Action Plan 2018 (NR), US Framework for National System of MPAs (NR)",8 - 11,United States,Pacific,East,13,13,3789,3789,Zoning - MPAs are NT,"California Coastal MPA Network - South Coast Region, US National Network of MPAs",Yes,Yes,Yes,Both,NR,NR,Explicit,"Conservation Action Plan (part of MP) explicitly lists monitoring/evaluating effects of climate change as a priority issue, making CINMS operations ""green"", and monitoring and planning for invasive species",Yes,Yes,Yes,"CCVA was completed for deepwater corals (2014) but a comprehensive vulnerability assessment has not been reported. However, the Condition Report (2016) evaluates many specific climate change stressors and there have been other environmental impact analyses. These have directly translated into adaptation activities. Stressors: ocean acidification, reductions in disollved oxygen, HABs, warming, marine heat waves",Yes,Emphasizing network design; adaptive management plans include updating design for climate change (Boundary Evaluation Action Plan),Yes,"Extensive (keystone and foundation species, ex. kelp forest and shallow rock habitats, biomass of focal species - targeted and non-targeted/algae/inverts, water quality, climate change drivers, ","Extensive (water quality, shipping, marine debris, oil activity)",Explicit,"Tracking climate indicators (e.g. water temperature, acidity, disollved oxygen) and changes in ecological communities (e.g. deep sea corals); evaluate multiple stressors/drivers and their interactions for a variety of targets, examining how species richness and diversity of fauna are influenced by short- and long-term changes including range shifts and expansions/contractions",Yes,Redesign,10,1,NR,Yes,Yes,,,Design reduces other stressors?
15,Turneffe Atoll Marine Reserve,Complete,2011,National Protected Areas System Plan,,Belize,Atlantic,Caribbean,1,6,1317,3.13,Zoning,Belize National Representative System of Protected Areas,Yes,Yes,Yes,Both,"System level targets (e.g. coral reef ecosystem) with additional nested targets (e.g. corals, reef fish, parrotfish, diadema, marine endemic species)","System level targets (e.g. coral reef ecosystem) with additional nested targets (e.g. corals, reef fish, parrotfish, diadema, marine endemic species)",No,NA,Yes,Yes,NS,"General assessment of the status of features with respect to various other threats, and a specific ""site reilience assessment"" with respect to climate change; Stressors: Sea level rise, SST rise, increased storm frequency, ocean acidification, decreased precipitation, air temperature changes",No,NS,Yes,"Integrated Reef Health Index, Turbidity, Mangrove extent, abundance of juvenile fish and lionfish in inundated mangroves, conch density, average lobster trap, grouper spawning population, seagrass biomass and percent cover, light intensity, water temperature, density of key sport fish, ","Incidents of poor development practicies, fishing infractions, ",Explicit,"Integrate monitoring into framework - continue bleaching and disease and identify resilient coral sites and recruitment sources, water sources and monitoring to build resilience",Yes,Redesign,5,1,Based on monitoring; zoning and redesign,Yes,Yes,"AZ, IP, EO, TO, HR, IL, IS, FR",Yes,
125,Booderee National Park,NR! CC Strategy,2015,,,Australia,Pacific,Tasman Sea,1,1,9,9,Zoning - Marine Area is NT,NRSMPA,Yes,Yes,NR,NR,NR,NR,Explicit,"Consistent with climate change strategies for the park (see Section 6.11, Climate Change) continue to monitor species or communities likely to be most at risk from impacts of climate change and identify options to improve their resilience.",NS,NS,NS,NS,NS,NS,NS,Yes,Yes,Explicit,Monitor at-risk species and develop strategies to increase their resilience,Yes,NS,10,1,annual implementation plan,Yes,NS,NA,NA,
12,Papahānaumokuākea Marine National Monument,Other Docs NR,2008,"Natural Resource Science Plan 2011 (NR), Climate Change Vulnerability Assessment 2016 (NR), Condition Repot 2020 (NR), ",,United States,Pacific,Central,1,1,1146820,1146820,Zoning,US National System of Protected Areas,Yes,Yes,Yes,Both,"certain threatened/endangered species, migratory birds","Habitats, maintaining ecosystem function and integrity",Explicit,"Prioritizes climate change as a priority issue, develop specific actions to understand baselines and variability of climate stressors",Yes,NS,Planned,"Vulnerability assessment completed in 2016; action plan to follow; Stressors: sea temperature, ocean acidification, sea level rise, changes to ocean circulation and currents, changes to storm tracks and intensity, changes to precipitation or weather",No,NS,NS,Extensive (monitoring plan outlines 97 activities),"Protection of native Hawaiian cultural and historical resources, monitoring tourism and visitation",Explicit,General plans for monitoring the effects of climate change in various capacities - specific indicators not mentioned,Yes,,5,NS,NR,Yes,Yes,,,Design reduces other stressors?
28,Otter Rock Marine Reserve,Complete,2013,Ecological Monitoring Plan for Oregon Marine Reserves 2017 (Reviewed),,United States,Pacific,East,2,1,3.25,3.09,"1 NT reserve, 1 ""marine garden"" (some take)","Oregon Marine Reserves, US National System of MPAs",No,NA,Somewhat,Both,"subtidal kelp, rocky intertidal organisms, adult and juvenile groundfish","biodiversity, sensitive habitats, kelp habitats, rocky intertidal habitat",Implicit,"General statewide reserve objetives (e.g. ""biodiversity"" and ""key habitats"") but lacks specifics - does include ""protection to enhance resilience to natural and human-caused effects""",NS,NS,NS,NS,Planned,General resilience principles for Oregon Statewide Marine Reserve Network - plans to evaluate their effectiveness around 2023,Yes,"Fish, Invertebrates, Habitats (Macroalgae, Intertidal, Rocky Reef), Oceanographic Conditions","Use comparison area for effectiveness of reserve; characterize communities and direct uses, recreation/engagement, attitudes and perceptions of management, social and environmental values",Implicit,Emphasis on establishing baselines for long-term changes over time (but no explicit climate change monitoring),Yes,Redesign,5,,Unlikely to change boundaries until after 10-15 years of study for adequate time for thorough evaluation,Yes,NS,,,
127,Esperance and Recherche parks and reserves,Complete,2016,,,Australia,Indian,Great Australian Bight,1,1,0.413,0.413,Zoning - NT,NRSMPA,Yes,Yes,NR,NR,NR,NR,Explicit,Reduce vulnerability to climate change,Yes,NS,Yes,Vulnerability of ecosystems to climate change in regional assessment,NS,NS,NS,Yes,Yes,Explicit,Key performance indicators with acceptable limits of change,Yes,NS,10,1,"Reporting on 1, 3, 5 year schedules",Yes,NS,NA,NA,
86,Gladden Spit and Silk Cayes,Complete,2011,Southern Belize Reef Complex Conservation Action Plan ,,Belize,Atlantic,Caribbean,1,1,105,16,Zoning - 1 NT conservation I zone,"Belize Barrier Reef Protected Area System, Southern Belize Reef Complex",Yes,Yes,Yes,Both,System level targets with additional nested targets,System level targets with additional nested targets,Explicit,"Each feature has an associated goal and indicators (e.g. for coral reefs - return system to a healthy state; measured by % cover, % macroalgae, reef fish density). For climate change, there is an explicit management goal and strategies - identify resilient coral species, recruitment sources, ensure herbivore protection, reduce cumulative anthropogenic local threats, monitor climate change effects.",NS,Yes,NS,"General assessment of the status of features with respect to various other threats, and a specific ""site reilience assessment"" with respect to climate change; Sea level rise, SST rise, increased storm frequency, ocean acidification, decreased precipitation, air temperature changes",Planned,NS,Yes,In development; some monitoring already conducted (e.g. coral bleaching),ID,Explicit,"Emphasizing establishing adequate baseline information for monitoring targets for climate change adaptation and limits of acceptable change, continuing to add monitoring for climate change, integrating climate change into research priorities, identifying areas with/without resilience to climate change. Already monitor some climate-related variables and impacts (e.g. coral bleaching)",Yes,Redesign,5,,"Zoning revision, updates to boundaries considered; 5 year MP review",Yes,Yes,"ED, IP, CO, TO, LE, HR, PO, IS",Yes,
68,Goukamma Nature Reserve Complex,NR SMART PDF,2016,,,South Africa,Indian,NA,1,1,33.5,NS,Shore-fishing allowed,South Africa National Protected Areas,Yes,No,Somewhat,Both,"Sparidae (of fishing interest), intertidal invertebrates that provide food for fisheries species","Dunes, marshes, sub-tidal reef structure, biodiversity",No,NA,NS,Yes,NS,Sensitivity analysis of various features to identify and prioritize action,NS,Zoning updates to assess representation and meet general resilience principle guidelines,NS,ID,ID,NS,NS,Yes,Redesign,5,,"MP review every 5 years, current review to extend no-take area to offer better protection and incorporate general size and habitat type principles",Yes,Yes,,,
